CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
500;10;30451;P;1;11;;6672076;8008140;;9;;30439;;1;1;1;1;1;1;;;+12063815;+3000131;0;0
500;10;30452;P;1;12;;6672076;6671817;;9;;30439;;1;1;1;1;1;1;;;+12065182;+3000207;0;0
500;10;30453;P;1;12;;6672076;6671818;;9;;30439;;1;1;1;1;1;1;;;+12066678;+3000677;0;0
500;10;30454;P;1;12;;6672076;6671819;;9;;30439;;1;1;1;1;1;1;;;+12067514;+3000842;0;0
500;10;30455;P;1;12;;6672076;9608144;;9;;30439;;1;1;1;1;1;1;;;+12068199;+3001013;0;0
500;10;30456;P;1;12;;6672076;6671821;;9;;30439;;1;1;1;1;1;1;;;+12069370;+3001243;0;0
500;10;30457;P;1;12;;6672076;6671782;;9;;30439;;1;1;1;1;1;1;;;+12073629;+3001903;0;0
500;10;30458;P;1;12;;6672076;6672106;;9;;30439;;1;1;1;1;1;1;;;+12077757;+3000919;0;0
500;10;30459;P;1;3;;6672076;9608145;;9;;30439;;1;1;1;1;1;1;;;+12080341;+3000855;0;0
500;10;18403;P;1;3;;4803268;4738989;;7;;;19615;1;1;1;1;1;1;;;+12125098;+2867456;0;1
500;10;18402;P;1;11;;4803268;4738452;;7;;;19615;1;1;1;1;1;1;;;+12124936;+2868069;0;0
500;10;18815;P;1;12;;4803268;4803264;;7;;;19615;1;1;1;1;1;1;;;+12124726;+2875232;0;0
500;10;18946;P;1;8;;4803268;4738347;;7;;;18945;1;1;1;1;1;1;;;+12125098;+2867456;0;1
500;10;18947;P;1;11;;4803268;4738495;;7;;;18945;1;1;1;1;1;1;;;+12127063;+2867284;0;1
500;10;18814;P;1;11;;4803268;4802831;;7;;;18401;1;1;1;1;1;1;;;+12127628;+2849941;0;0
500;10;18414;P;1;11;;4803268;4738432;;7;;;18401;1;1;1;1;1;1;;;+12136253;+2851389;0;0
500;10;18413;P;1;10;;4803268;4802832;;7;;;18401;1;1;1;1;1;1;;;+12137892;+2853677;0;0
500;10;19606;P;1;10;;4803268;4738352;;7;;;18401;1;1;1;1;1;1;;;+12139106;+2855577;0;0
500;10;19607;P;1;10;;4803268;4738391;;7;;;19613;1;1;1;1;1;1;;;+12135568;+2858683;0;1
500;10;19289;P;1;10;;4803268;4802866;;7;;;19613;1;1;1;1;1;1;;;+12133894;+2858958;0;1
500;10;18410;P;1;10;;4803268;4738444;;7;;;19613;1;1;1;1;1;1;;;+12132703;+2859133;0;1
500;10;18409;P;1;10;;4803268;4738641;;7;;;19613;1;1;1;1;1;1;;;+12126940;+2861021;0;1
500;10;19614;P;1;10;;4803268;4738495;;7;;;19613;1;1;1;1;1;1;;;+12126801;+2863077;0;1
500;10;6411;P;1;3;;1000282;1066883;;5;;6695;;1;1;1;1;1;1;;;+12066713;+2784689;0;0
500;10;6410;P;1;12;;1000282;1000410;;5;;6695;;1;1;1;1;1;1;;;+12066259;+2791302;0;0
500;10;7406;P;1;11;;1000282;3202709;;5;;6695;;1;1;1;1;1;1;;;+12068019;+2792330;7401;0
500;10;7401;P;1;10;;1000282;3202718;;5;;7408;;1;1;1;1;1;1;;;+12060783;+2801503;7406;1
500;10;6403;P;1;11;;1000282;998988;;5;;7408;;1;1;1;1;1;1;;;+12060506;+2801702;0;1
500;10;6402;P;1;10;;1000282;1067044;;5;;7408;;1;1;1;1;1;1;;;+12059528;+2802074;0;0
500;10;6401;P;1;12;;1000282;998990;;5;;7408;;1;1;1;1;1;1;;;+12058923;+2808441;0;0
500;10;6713;P;1;12;;1000282;999080;;5;;7408;;1;1;1;1;1;1;;;+12059915;+2809561;0;0
500;10;7380;P;1;10;;1000282;1066989;;5;;7408;;1;1;1;1;1;1;;;+12060880;+2807159;0;0
500;10;6714;P;1;10;;1000282;1000412;;5;;7408;;1;1;1;1;1;1;;;+12061460;+2805890;0;0
500;10;7201;P;1;12;;1000282;1067046;;5;;7408;;1;1;1;1;1;1;;;+12061834;+2805508;0;0
500;10;6715;P;1;10;;1000282;1000411;;5;;7408;;1;1;1;1;1;1;;;+12062649;+2805434;0;0
500;10;7178;P;1;12;;1000282;1000581;;5;;7408;;1;1;1;1;1;1;;;+12065003;+2805065;0;0
500;10;6716;P;1;6;;1000282;1067080;;5;;7408;;1;1;1;1;1;1;;;+12068695;+2806107;0;0
500;10;6717;P;1;12;;1000282;1000414;;5;;7408;;1;1;1;1;1;1;;;+12069981;+2804046;0;0
500;10;6718;P;1;3;;1000282;3202710;;5;;7408;;1;1;1;1;1;1;;;+12079285;+2801884;0;0
500;10;7198;P;1;11;;1000282;3202711;;5;;7408;;1;1;1;1;1;1;;;+12079564;+2801700;0;0
500;10;24082;P;1;1;;22946044;23479765;;8;;;24080;1;1;1;1;1;1;;;+12100152;+3063113;0;0
500;10;24083;P;1;3;;22946044;22946151;;8;;;24080;1;1;1;1;1;1;;;+12098486;+3067853;0;0
500;10;24084;P;3;3;;22946044;22946169;;8;;;24080;1;1;1;1;1;1;;;+12093385;+3074065;0;0
500;10;24085;P;1;1;;22946044;23210846;;8;;;24080;1;1;1;1;1;1;;;+12091391;+3077061;0;0
500;10;24077;P;3;3;;23479767;22946046;;8;;;24113;1;1;1;1;1;1;;;+12103129;+3059193;0;0
500;10;24078;P;1;3;;23479767;23479759;;8;;;24113;1;1;1;1;1;1;;;+12102066;+3060396;0;0
500;10;24114;P;1;1;;23479767;23479765;;8;;;24113;1;1;1;1;1;1;;;+12100152;+3063113;0;0
500;10;24072;P;1;3;;23479767;23479766;;8;;;24113;1;1;1;1;1;1;;;+12104381;+3064810;0;0
500;10;24073;P;1;3;;23479767;22946165;;8;;;24113;1;1;1;1;1;1;;;+12114937;+3068774;0;0
500;10;24074;P;3;3;;23479767;22946166;;8;;;24113;1;1;1;1;1;1;;;+12117708;+3069715;0;0
500;10;24075;P;1;3;;23479767;23210844;;8;;;24113;1;1;1;1;1;1;;;+12121929;+3071501;0;0
500;10;24112;P;3;3;;23479767;23210845;;8;;;24113;1;1;1;1;1;1;;;+12127201;+3072964;0;0
500;10;213;P;1;3;;11742377;11272527;;4;;101;;1;1;1;1;1;1;;;+12151821;+2997148;0;1
500;10;103;P;1;3;;11742377;12873335;;4;;101;;1;1;1;1;1;1;;;+12156610;+2998888;0;1
500;10;104;P;1;3;;11742377;11742356;;4;;101;;1;1;1;1;1;1;;;+12160687;+2999150;0;1
500;10;105;P;1;1;;11742377;11343067;;4;;101;;1;1;1;1;1;1;;;+12164293;+2996934;0;1
500;10;107;P;1;3;;11742378;11274333;;4;;106;;1;1;1;1;1;1;;;+12165988;+2994489;0;1
500;10;108;P;1;3;;11742378;12873336;;4;;106;;1;1;1;1;1;1;;;+12169169;+2991439;0;1
500;10;109;P;1;3;;11742378;11272798;;4;;106;;1;1;1;1;1;1;;;+12169081;+2986199;0;1
500;10;110;P;1;1;;11742378;12873333;;4;;106;;1;1;1;1;1;1;;;+12167703;+2983199;0;1
